Correlation matrix
                    AGMT_GID  POLICY_ID  NM_INSURED_NM  POL_EFF_DT  POL_EXP_DT  RISK_STATE_CD  DRVR_BIRTH_DT       AGE  DRVR_FULL_NM  DRVR_GENDER_CD  AARP_MEMBER_ID  AARP_MEMBER_IND  DRVR_MAJ_VLT_CNT  DRVR_MNR_VLT_CNT  INSD_MAIL_CITY_NM  INSD_MAIL_ST_ABBR  INSD_MAIL_STR_ADDR  INSRD_MAIL_ZIP_CD  LOSS_EVNT_NUM
AGMT_GID            1.000000  -0.047800      -0.003598   -0.145364   -0.104638       0.005626       0.009363 -0.045095     -0.000596        0.009884        0.090561        -0.116681          0.000784         -0.007120           0.007658           0.004070           -0.012946           0.005198       0.066564
POLICY_ID          -0.047800   1.000000      -0.001485    0.026098    0.009819      -0.015076      -0.014748  0.031223      0.010772       -0.013642        0.031359         0.330198         -0.012537          0.003168           0.015577          -0.024790           -0.013911           0.266542       0.004526
NM_INSURED_NM      -0.003598  -0.001485       1.000000    0.003513    0.008151      -0.003603      -0.000879  0.005957      0.609515        0.007031       -0.013133         0.000992         -0.008712         -0.001670           0.006952          -0.002935           -0.001091          -0.010728       0.000601
POL_EFF_DT         -0.145364   0.026098       0.003513    1.000000    0.934007       0.004511       0.028656 -0.001038      0.039802        0.053208        0.018995         0.064258         -0.002982          0.004966           0.006483           0.009129            0.016251           0.013350       0.022118
POL_EXP_DT         -0.104638   0.009819       0.008151    0.934007    1.000000      -0.000792       0.028521 -0.009518      0.039916        0.056091        0.017799         0.040633         -0.003143          0.007063           0.010285           0.004904            0.012213           0.012538       0.028187
RISK_STATE_CD       0.005626  -0.015076      -0.003603    0.004511   -0.000792       1.000000       0.005290  0.040210     -0.007129       -0.002336       -0.008185         0.021156          0.005900          0.006379          -0.048141           0.946889            0.011579          -0.103032      -0.001639
DRVR_BIRTH_DT       0.009363  -0.014748      -0.000879    0.028656    0.028521       0.005290       1.000000  0.008701      0.030579        0.052863       -0.000848         0.051787         -0.001450         -0.006792           0.013069           0.008244            0.006582          -0.003659       0.005430
AGE                -0.045095   0.031223       0.005957   -0.001038   -0.009518       0.040210       0.008701  1.000000      0.009040        0.014377       -0.356691         0.195467         -0.003515         -0.026345           0.001741           0.032962           -0.002083          -0.032042       0.008871
DRVR_FULL_NM       -0.000596   0.010772       0.609515    0.039802    0.039916      -0.007129       0.030579  0.009040      1.000000        0.055632       -0.013933         0.056270         -0.008655         -0.004881          -0.003701          -0.003095            0.002701          -0.009944       0.002055
DRVR_GENDER_CD      0.009884  -0.013642       0.007031    0.053208    0.056091      -0.002336       0.052863  0.014377      0.055632        1.000000        0.019065         0.067951          0.000935          0.006235          -0.001982           0.003655            0.007155           0.001622       0.000635
AARP_MEMBER_ID      0.090561   0.031359      -0.013133    0.018995    0.017799      -0.008185      -0.000848 -0.356691     -0.013933        0.019065        1.000000         0.015551               NaN         -0.002954          -0.001807           0.013983           -0.004915           0.011975      -0.064374
AARP_MEMBER_IND    -0.116681   0.330198       0.000992    0.064258    0.040633       0.021156       0.051787  0.195467      0.056270        0.067951        0.015551         1.000000         -0.024434          0.003664          -0.000264           0.015631            0.000522           0.038340       0.000793
DRVR_MAJ_VLT_CNT    0.000784  -0.012537      -0.008712   -0.002982   -0.003143       0.005900      -0.001450 -0.003515     -0.008655        0.000935             NaN        -0.024434          1.000000         -0.000419          -0.010494           0.004885            0.005294          -0.011035      -0.009591
DRVR_MNR_VLT_CNT   -0.007120   0.003168      -0.001670    0.004966    0.007063       0.006379      -0.006792 -0.026345     -0.004881        0.006235       -0.002954         0.003664         -0.000419          1.000000          -0.002481           0.008271            0.015554          -0.017190       0.020000
INSD_MAIL_CITY_NM   0.007658   0.015577       0.006952    0.006483    0.010285      -0.048141       0.013069  0.001741     -0.003701       -0.001982       -0.001807        -0.000264         -0.010494         -0.002481           1.000000          -0.041022            0.001362           0.020561       0.003809
INSD_MAIL_ST_ABBR   0.004070  -0.024790      -0.002935    0.009129    0.004904       0.946889       0.008244  0.032962     -0.003095        0.003655        0.013983         0.015631          0.004885          0.008271          -0.041022           1.000000            0.018162          -0.143509      -0.004423
INSD_MAIL_STR_ADDR -0.012946  -0.013911      -0.001091    0.016251    0.012213       0.011579       0.006582 -0.002083      0.002701        0.007155       -0.004915         0.000522          0.005294          0.015554           0.001362           0.018162            1.000000          -0.020729       0.009582
INSRD_MAIL_ZIP_CD   0.005198   0.266542      -0.010728    0.013350    0.012538      -0.103032      -0.003659 -0.032042     -0.009944        0.001622        0.011975         0.038340         -0.011035         -0.017190           0.020561          -0.143509           -0.020729           1.000000       0.066261
LOSS_EVNT_NUM       0.066564   0.004526       0.000601    0.022118    0.028187      -0.001639       0.005430  0.008871      0.002055        0.000635       -0.064374         0.000793         -0.009591          0.020000           0.003809          -0.004423            0.009582           0.066261       1.000000
